The Shawshank ____ | Redemption
The squeaky wheel gets the ____ | Grease
Fortune favors the ____ | Brave
The apple doesn’t fall far from the ____ | Tree
No pain no ____ | Gain
A watched pot never ____ | Boils
Too much of anything is ____ | Bad
There’s no place like ____ | Home
Necessity is the mother of ____ | Invention
Beggars can’t be ____ | Choosers
Don’t bite the hand that ____ you | Feeds
You reap what you ____ | Sow
Curiosity killed the ____ | Cat
The customer is always ____ | Right
Absence makes the heart grow ____ | Fonder
Laughter is the best ____ | Medicine
If it ain’t broke don’t ____ it | Fix
Time and tide wait for no ____ | Man
Out of sight out of ____ | Mind
A picture is worth a thousand ____ | Words
Jack of all trades master of ____ | None
Too little too ____ | Late
The road to success is always under ____ | Construction
Dream big work hard stay ____ | Humble
The harder you work the luckier you ____ | Get
Winners never quit and quitters never ____ | Win
Life is what happens when you’re busy making other ____ | Plans
Do what you can with what you have where you ____ | Are
Success usually comes to those who are too busy to be looking for ____ | It
The future belongs to those who believe in the beauty of their ____ | Dreams
Happiness depends upon ourselves not on anyone ____ | Else
It always seems impossible until it is ____ | Done
Difficult roads often lead to beautiful ____ | Destinations
Great things never come from comfort ____ | Zones
Harry had a red ____ | Ball
The cat drank warm ____ | Milk
Twinkle twinkle little ____ | Star
A stitch in time saves ____ | Nine
The early bird catches the ____ | Worm
An apple a day keeps the ____ away | Doctor
Tom and Jerry love eating ____ | Cheese
The lion is the king of the ____ | Jungle
She opened the door with a ____ | Key
The teacher wrote on the ____ | Blackboard
The baby drank water from a ____ | Bottle
The train stopped at the ____ | Station
He wore a black ____ | Jacket
The farmer grows rice in the ____ | Field
The kids played in the ____ | Playground
She put the flowers in a ____ | Vase
The airplane landed at the ____ | Airport
The dog buried a juicy ____ | Bone
The chef cooked spicy ____ | Noodles
The student forgot his ____ | Homework
The magician pulled a rabbit from a ____ | Hat
The pirate searched for hidden ____ | Treasure
The police caught the clever ____ | Thief
The astronaut traveled to the ____ | Moon
The fisherman sailed across the ____ | Ocean
The little girl lost her favorite ____ | Doll
The monkey climbed the tall ____ | Tree
The king sat on a golden ____ | Throne
The doctor checked the patient’s ____ | Heart
The baker made fresh chocolate ____ | Cake
Spider-Man Far From ____ | Home
The Pursuit of ____ | Happyness
The Wolf of Wall ____ | Street
Charlie and the Chocolate ____ | Factory
How to Train Your ____ | Dragon
The Fast and the ____ | Furious
Beauty and the ____ | Beast
Cloudy with a Chance of ____ | Meatballs
The Secret Life of ____ | Pets
Diary of a Wimpy ____ | Kid
The Lord of the ____ | Rings
Pirates of the Caribbean Dead Man’s ____ | Chest
Harry Potter and the Goblet of ____ | Fire
Fantastic Beasts The Crimes of ____ | Grindelwald
Avengers Infinity ____ | War
Captain America Civil ____ | War
Mission Impossible Ghost ____ | Protocol
Night at the ____ | Museum
The Chronicles of Narnia Prince ____ | Caspian
Doctor Strange in the Multiverse of ____ | Madness
2 4 6 8 ?|10
5 10 15 20 ?|25
1 3 5 7 ?|9
10 20 30 40 ?|50
100 90 80 70 ?|60
1 4 9 16 ?|25
2 3 5 7 ?|11
1 1 2 3 5 ?|8
3 6 9 12 ?|15
8 16 24 32 ?|40
50 45 40 35 ?|30
7 14 21 28 ?|35
9 18 27 36 ?|45
11 22 33 44 ?|55
1 2 4 8 ?|16
81 64 49 36 ?|25
A B C D ?|e
Z Y X W ?|v
Monday Tuesday Wednesday ?|thursday
January February March ?|april
Red Blue Green ?|yellow
Circle Square Triangle ?|rectangle
Cat Dog Bird ?|fish
Apple Banana Mango ?|orange
2 6 12 20 ?|30
1 8 27 64 ?|125
13 26 39 52 ?|65
100 200 300 400 ?|500
4 8 12 16 ?|20
99 88 77 66 ?|55
3 9 27 81 ?|243
1 5 9 13 ?|17
6 12 18 24 ?|30
12 24 36 48 ?|60
5 25 125 ?|625
2 5 10 17 ?|26
1 2 6 24 ?|120
144 121 100 81 ?|64
A C E G ?|i
B D F H ?|j
5 4 3 2 ?|1
0 1 1 2 3 ?|5
2 4 8 16 32 ?|64
10 9 8 7 ?|6
7 11 15 19 ?|23
25 20 15 10 ?|5
1 10 100 1000 ?|10000
3 5 7 9 ?|11
4 16 36 64 ?|100
9 7 5 3 ?|1
What is the capital of France?|paris
Which planet is known as the Red Planet?|mars
Who wrote Romeo and Juliet?|shakespeare
What is the largest ocean on Earth?|pacific ocean
Which country is famous for the pyramids?|egypt
What is the national animal of India?|tiger
How many continents are there?|7
What gas do plants absorb from the atmosphere?|carbon dioxide
Who invented the telephone?|alexander graham bell
What is the currency of Japan?|yen
Which is the longest river in the world?|nile
Who painted the Mona Lisa?|leonardo da vinci
What is the smallest planet in the solar system?|mercury
Which country gifted the Statue of Liberty to the USA?|france
What is the boiling point of water in Celsius?|100
Who discovered gravity?|isaac newton
What is the capital of Australia?|canberra
Which animal is known as the King of the Jungle?|lion
What is the fastest land animal?|cheetah
Who was the first man on the moon?|neil armstrong
What is the largest mammal?|blue whale
What language is primarily spoken in Brazil?|portuguese
Which continent is the Sahara Desert located in?|africa
What is the hardest natural substance?|diamond
How many players are there in a cricket team?|11
What is the chemical symbol for gold?|au
Which festival is known as the festival of lights in India?|diwali
What is the tallest mountain in the world?|mount everest
Which organ pumps blood in the human body?|heart
Who is known as the Father of the Nation in India?|mahatma gandhi
Which planet has rings around it?|saturn
What is the largest country in the world by area?|russia
What is the national sport of Japan?|sumo wrestling
Who wrote Harry Potter?|jk rowling
Which bird is known for mimicking human speech?|parrot
What is the currency of the United States?|dollar
Which metal is liquid at room temperature?|mercury
What is the capital of Canada?|ottawa
How many colors are there in a rainbow?|7
Who invented the light bulb?|thomas edison
Which is the largest desert in the world?|antarctica
What is the square root of 64?|8
What is the main ingredient in guacamole?|avocado
Which country is famous for sushi?|japan
What is the national flower of India?|lotus
What is the tallest animal in the world?|giraffe
Which is the coldest continent?|antarctica
What is the currency of the United Kingdom?|pound
Who was the first President of the United States?|george washington
Which blood group is known as the universal donor?|o negative
What has to be broken before you can use it? | egg
What has a neck but no head? | bottle
What has many teeth but cannot bite? | comb
What gets wetter the more it dries? | towel
What has keys but cannot open locks? | piano
What has a ring but no finger? | phone
What has a head and a tail but no body? | coin
What can you catch but not throw? | cold
What is always in front of you but can’t be seen? | future
What has legs but doesn’t walk? | table
What has a bottom at the top? | leg
What has a mouth but cannot eat? | river
What can fill a room but takes up no space? | light
What is full of holes but still holds water? | sponge
What has four wheels and flies? | garbage truck
What can you hold without touching it? | breath
What has a bark but no bite? | tree
What begins with t, ends with t, and has t in it? | teapot
What has cities but no houses? | map
What has rivers but no water? | map
What has forests but no trees? | map
What can you hear but not see? | sound
What has a bed but never sleeps? | river
What has a foot but no legs? | ruler
What can run but cannot walk? | engine
What can fly without wings? | time
What is black when clean and white when dirty? | blackboard
What has no lid but can be opened? | eye
What has no lungs but needs air? | fire
What has no legs but moves? | snake
What can’t be used until it’s broken? | egg
What has a ring but no finger? | phone
What can be cracked, made, told, and played? | joke
What gets sharper the more you use it? | brain
What has no beginning, middle, or end? | circle
What has numbers but no math? | clock
What can be long or short, grown or bought, painted or left bare? | nail
What has no shadow? | light
What can you keep after giving it to someone? | word
What has a door but no house? | oven
What has a horn but doesn’t honk? | rhinoceros
What can be seen once in a year, twice in a week, and never in a day? | e
What has many needles but doesn’t sew? | pine tree
What has branches but no fruit? | bank
What has roots but never grows? | mountain
What can you see in the middle of march and april? | r
What has stripes but is not a zebra? | shirt
What has a shell but no body? | egg
What can be swallowed but can swallow you? | pride
What has keys but no locks? | piano
What has teeth but can’t chew? | comb
What can be tall or short but never wide? | person
What has a bed but no sleep? | river
What has a top but no bottom? | hat
What has a mouth but no teeth? | river
What has arms but no hands? | chair
What can’t be seen but can be felt? | wind
What has a ring but no finger? | bell
What has a name but no body? | shadow
What can be broken but never held? | promise
What can move without legs? | time
What has a neck but no body? | bottle
What has a head but no brain? | nail
What has a face but no mouth? | clock
What has an ear but cannot hear? | corn
What can you hear but not touch? | sound
What has a hole but still holds water? | sponge
What has wings but cannot fly? | chicken
What can go through glass without breaking it? | light
What has a bottom but no top? | leg
What has a shell but no animal? | egg
What has a lock but no key? | hair
What has no color but can be seen? | air
What has no hands but can clap? | thunder
What has no heart but can beat? | drum
What has no legs but can walk? | time
What has no eyes but can see? | camera
What has no mouth but can talk? | radio
What has no ears but can hear? | microphone
What has no feet but can run? | water
What has no wings but can soar? | kite
What has no body but can move? | wind
What has no face but can show emotion? | emoji
What has no shape but fills space? | gas
What has no taste but can be sweet? | love
What has no smell but can be sensed? | air
What has no weight but can be heavy? | burden
What has no sound but can be loud? | silence
What has no color but can shine? | light
What has no edges but can roll? | ball
What has no life but can grow? | crystal
What has no form but can change? | water
What has no limits but can be broken? | record
What has no rules but can be played? | game
What has no owner but belongs to all? | earth
What has no start but has an end? | story
What has no direction but can move? | time
What has no height but can be tall? | building
What has no width but can be wide? | river
What has no depth but can be deep? | thought
What has no speed but can be fast? | idea
What has no weight but can carry? | memory
What has no power but can control? | fear
What has no form but can be seen? | shadow
What has no voice but can be heard? | music
What has no eyes but can watch? | camera
What has no hands but can hold? | container
What has no feet but can travel? | time
What has no life but can die? | battery
What has no heart but can feel? | human
What has no legs but can stand? | table
What has no arms but can hug? | shirt
What has no teeth but can bite? | cold
What has no wings but can fly? | imagination
What has no body but can grow? | shadow
What has no brain but can learn? | machine
What has no name but exists? | thing
What has no value but is priceless? | time
What has no end but keeps going? | time
What has no beginning but exists? | circle
What has no middle but is whole? | circle
What has no sides but has shape? | circle
What has no sound but can be heard? | silence
What has no light but can be seen? | darkness
What has no touch but can be felt? | emotion
What has no taste but can be enjoyed? | music
What has no smell but can be sensed? | air
What has no weight but can crush? | pressure
What has no speed but can race? | time
What has no limits but can be broken? | record
What has no form but can be changed? | water
What has no face but shows expression? | emoji
What has no life but can be alive? | idea
What has no body but casts a shadow? | object
What has no edge but can cut? | words
What has no hands but can build? | time
What has no feet but can climb? | vine
What has no legs but can jump? | ball
What has no arms but can catch? | net
What has no eyes but can aim? | gun
What has no brain but can decide? | computer
What has no voice but can command? | signal
What has no heart but can love? | human
How many months have 28 days? | 12
If you pass the person in 2nd place, what place are you in? | second
What is 1 + 1 × 0? | 1
What is 0 divided by 5? | 0
How many sides does a circle have? | 2
If a plane crashes on the border of india and nepal, where are survivors buried? | nowhere
If you drop a red stone in blue sea, what happens? | sinks
How many letters are in the alphabet? | 11
What comes next: 2, 4, 8, 16, ? | 32
How many animals did moses take on the ark? | 0
What is always coming but never arrives? | tomorrow
If you have 3 apples and take away 2, how many do you have? | 2
What is 10 + 10 ÷ 10? | 11
How many wheels does a car have? | 4
If you have one match and enter a dark room, what do you light first? | match
What is full of holes but holds water? | sponge
What has to be broken to be used? | egg
What has hands but cannot clap? | clock
What has a neck but no head? | bottle
What runs but never walks? | water
What has many teeth but cannot bite? | comb
What gets wetter the more it dries? | towel
What can travel around the world but stays in one spot? | stamp
If you have 5 chocolates and give away all but 2, how many left? | 2
What is 100 minus 10 times 5? | 50
What is 5 squared? | 25
If you have 10 rupees and spend 10, how much left? | 0
What is the opposite of always? | never
If yesterday was tomorrow, what day is today? | today
How many legs do 2 dogs have? | 8
What is 2 + 2 × 2? | 6
What is the square root of 64? | 8
If you throw a rock straight up, what happens? | comes down
What is the last letter of “last”? | t
What is the first letter of “first”? | f
What is 50% of 200? | 100
If you have 4, take away 3, how many left? | 1
What is 9 + 10? | 19
How many letters in “seven”? | 5
What is 11 × 0? | 0
What is half of 100? | 50
If you divide 10 by 2, what do you get? | 5
What is 1 × 1 × 1 × 1? | 1
What is 100 ÷ 10? | 10
How many days in february (non leap year)? | 28
What is 7 × 7? | 49
If you add 1 to 99, what do you get? | 100
What is 6 × 6? | 36
How many sides does a triangle have? | 3
What is 10 × 10? | 100
If you subtract 1 from 1, what do you get? | 0
What is 5 + 3? | 8
What is 10 - 4? | 6
What is 7 × 2? | 14
What is 20 ÷ 5? | 4
What is 9 + 6? | 15
What is 15 - 7? | 8
What is 8 × 3? | 24
What is 36 ÷ 6? | 6
What is 12 + 9? | 21
What is 18 - 5? | 13
What is 4 × 7? | 28
What is 49 ÷ 7? | 7
What is 25 + 25? | 50
What is 100 - 45? | 55
What is 6 × 6? | 36
What is 81 ÷ 9? | 9
What is 13 + 14? | 27
What is 30 - 12? | 18
What is 9 × 5? | 45
What is 72 ÷ 8? | 9
What is 50 + 20? | 70
What is 90 - 30? | 60
What is 11 × 4? | 44
What is 64 ÷ 8? | 8
What is 17 + 8? | 25
What is 40 - 16? | 24
What is 3 × 12? | 36
What is 56 ÷ 7? | 8
What is 99 + 1? | 100
What is 75 - 25? | 50
What is 5 × 9? | 45
What is 42 ÷ 6? | 7
What is 22 + 18? | 40
What is 60 - 15? | 45
What is 8 × 8? | 64
What is 100 ÷ 10? | 10
What is 14 + 16? | 30
What is 45 - 19? | 26
What is 7 × 7? | 49
What is 63 ÷ 9? | 7
What is 80 + 15? | 95
What is 70 - 22? | 48
What is 9 × 9? | 81
What is 54 ÷ 6? | 9
What is 26 + 13? | 39
What is 100 - 64? | 36
What is 12 × 5? | 60
What is 48 ÷ 4? | 12
What is 33 + 17? | 50
What is 91 - 11? | 80
What is 3 × 3 × 3? | 27
What is 1000 ÷ 10? | 100
What is 8 × 8? | 64
What is 9 × 9? | 81
What is 2 × 10? | 20
What is 4 × 5? | 20
What is 12 × 2? | 24
What is 3 × 4? | 12
What is 15 ÷ 3? | 5
What is 18 ÷ 2? | 9
What is 20 ÷ 4? | 5
What is 30 ÷ 5? | 6
What is 40 ÷ 8? | 5
What is 25 ÷ 5? | 5
What is 36 ÷ 6? | 6
What is 49 ÷ 7? | 7
What is 64 ÷ 8? | 8
What is 81 ÷ 9? | 9
What is 100 ÷ 20? | 5
What is 144 ÷ 12? | 12
What is 121 ÷ 11? | 11
What is 1 + 2 + 3 + 4 + 5? | 15
What is 2 + 4 + 6 + 8? | 20
What is 3 + 6 + 9? | 18
What is 5 + 10 + 15? | 30
What is 7 + 14 + 21? | 42
What is 8 + 16 + 24? | 48
What is 9 + 18 + 27? | 54
What is 10 + 20 + 30? | 60
What is 11 + 22 + 33? | 66
What is 12 + 24 + 36? | 72
What is 13 + 26 + 39? | 78
What is 14 + 28 + 42? | 84
What is 15 + 30 + 45? | 90
What is 16 + 32 + 48? | 96
What is 17 + 34 + 51? | 102
What is 18 + 36 + 54? | 108
What is 19 + 38 + 57? | 114
What is 20 + 40 + 60? | 120
What is 21 + 42 + 63? | 126
What is 22 + 44 + 66? | 132
What is 23 + 46 + 69? | 138
What is 24 + 48 + 72? | 144
What is 25 + 50 + 75? | 150
What is 26 + 52 + 78? | 156
What is 27 + 54 + 81? | 162
What is 28 + 56 + 84? | 168
What is 29 + 58 + 87? | 174
What is 30 + 60 + 90? | 180
What is 31 + 62 + 93? | 186
What is 32 + 64 + 96? | 192
What is 33 + 66 + 99? | 198
What is 34 + 68 + 102? | 204
What is 35 + 70 + 105? | 210
What is 36 + 72 + 108? | 216
What is 37 + 74 + 111? | 222
What is 38 + 76 + 114? | 228
What is 39 + 78 + 117? | 234
What is 40 + 80 + 120? | 240
What is 41 + 82 + 123? | 246
What is 42 + 84 + 126? | 252
What is 43 + 86 + 129? | 258
What is 44 + 88 + 132? | 264
What is 45 + 90 + 135? | 270
What is 46 + 92 + 138? | 276
What is 47 + 94 + 141? | 282
What is 48 + 96 + 144? | 288
What is 49 + 98 + 147? | 294
What is 50 + 100 + 150? | 300
What is 1 + 1 + 1 + 1 + 1? | 5
What is 2 + 2 × 2? | 6
What is 10 + 10 ÷ 10? | 11
How many days are there in a week? | 7
How many months have 30 days? | 11
How many months have 28 days? | 12
If you pass 2nd place, what place are you? | second
What is the last letter of “apple”? | e
What is the first letter of “banana”? | b
How many letters are in “alphabet”? | 8
How many letters are in “the alphabet”? | 11
What is 0 × 100? | 0
What is 100 ÷ 0? | undefined
What is half of 2 + 2? | 3
What is 5 × 0 + 5? | 5
What is 5 × (0 + 5)? | 25
What is 6 ÷ 2 × 3? | 9
What is 6 ÷ (2 × 3)? | 1
What is 8 + 2 × 5? | 18
What is (8 + 2) × 5? | 50
What is 9 + 1 × 0? | 9
What is (9 + 1) × 0? | 0
How many legs do 3 dogs have? | 12
How many legs do 2 humans have? | 4
How many fingers do both hands have? | 10
How many thumbs do you have? | 2
What is the opposite of up? | down
What is the opposite of left? | right
What is always in front of you but can’t be seen? | future
What gets bigger the more you take away? | hole
What has a neck but no head? | bottle
What runs but never walks? | water
What gets wetter the more it dries? | towel
What can travel around the world but stays in one place? | stamp
What is full of holes but holds water? | sponge
What has keys but no locks? | piano
What has a heart but no organs? | cards
What has a face but no eyes? | clock
What is always coming but never arrives? | tomorrow
What has an end but no beginning? | stick
What has a ring but no finger? | phone
What has a bed but never sleeps? | river
What has branches but no fruit? | bank
What can you catch but not throw? | cold
What has words but never speaks? | book
What is always moving but never walks? | time
What can you break without touching? | promise
What has a bottom at the top? | legs
What has four legs but can’t walk? | table
What is black when clean and white when dirty? | blackboard
What has a mouth but cannot eat? | river
What has ears but cannot hear? | corn
What has a tail but no body? | coin
What has wings but cannot fly? | fan
What has a head and a tail but no body? | coin
What has a bark but no bite? | tree
What has eyes but cannot see? | potato
What has a tongue but cannot talk? | shoe
What has wheels but doesn’t move? | chair
What has a lock but no key? | hair
What has a crown but no king? | tooth
What has a spine but no bones? | book
What has a shell but no body? | egg
What has roots but no tree? | teeth
What has a cap but no head? | bottle
What has a needle but no thread? | clock
What has numbers but no math? | clock
What has a mirror but no reflection? | mind
What has a door but no house? | oven
What has a lid but no jar? | eye
What has a screen but no display? | window
What has a handle but no door? | cup
What has a belt but no pants? | road
What has a bank but no money? | river
What has a net but no fish? | internet
What has a light but no bulb? | sun
What has a key but no lock? | keyboard
What has a file but no paper? | computer
What has a page but no book? | website
What has a drive but no car? | computer
What has a mouse but no animal? | computer
What has a window but no house? | computer
What has a virus but no disease? | computer
What has memory but no brain? | computer
What has a chip but no food? | computer
What has a port but no ship? | computer
What has a cloud but no rain? | internet
What has a web but no spider? | internet
What has a link but no chain? | internet
What has a stream but no water? | internet
What has a channel but no tv? | youtube
What has followers but no legs? | instagram
What has likes but no emotions? | post
What has views but no eyes? | video
What has comments but no voice? | post
What is the capital of India? | new delhi
What is the capital of USA? | washington dc
What is the capital of UK? | london
What is the capital of France? | paris
What is the capital of Japan? | tokyo
What is the capital of China? | beijing
What is the capital of Australia? | canberra
What is the capital of Canada? | ottawa
What is the capital of Germany? | berlin
What is the capital of Italy? | rome
Who is known as the Father of the Nation (India)? | mahatma gandhi
Who wrote the Indian national anthem? | rabindranath tagore
Who is the current Prime Minister of India? | narendra modi
Who discovered gravity? | isaac newton
Who invented the telephone? | alexander graham bell
Who invented the light bulb? | thomas edison
Who painted the Mona Lisa? | leonardo da vinci
Who discovered penicillin? | alexander fleming
Who was the first man on the moon? | neil armstrong
Which planet is known as the Red Planet? | mars
Which planet is closest to the sun? | mercury
Which planet is the largest? | jupiter
Which is the smallest planet? | mercury
Which is the hottest planet? | venus
What is the national animal of India? | tiger
What is the national bird of India? | peacock
What is the national flower of India? | lotus
What is the national tree of India? | banyan
What is the national fruit of India? | mango
Which is the longest river in the world? | nile
Which is the longest river in India? | ganges
Which is the largest ocean? | pacific ocean
Which is the smallest ocean? | arctic ocean
Which is the highest mountain in the world? | mount everest
Which is the highest peak in India? | kanchenjunga
Which is the largest desert in the world? | sahara
Which is the largest continent? | asia
Which is the smallest continent? | australia
How many continents are there? | 7
How many oceans are there? | 5
How many states are there in India? | 28
How many union territories are there in India? | 8
What is the currency of India? | rupee
What is the currency of USA? | dollar
What is the currency of UK? | pound
What is the currency of Japan? | yen
What is the currency of China? | yuan
What is the currency of UAE? | dirham
What is the currency of Europe? | euro
What is the SI unit of force? | newton
What is the SI unit of energy? | joule
What is the SI unit of power? | watt
What is the SI unit of temperature? | kelvin
What is the SI unit of current? | ampere
What is the SI unit of length? | meter
What is the SI unit of mass? | kilogram
What is H2O commonly known as? | water
What is CO2? | carbon dioxide
What is NaCl? | salt
What is the chemical symbol of gold? | au
What is the chemical symbol of silver? | ag
What is the chemical symbol of iron? | fe
What is the chemical symbol of oxygen? | o
What is the chemical symbol of hydrogen? | h
What is the chemical symbol of nitrogen? | n
How many bones are there in the human body? | 206
How many teeth does an adult human have? | 32
How many hearts does an octopus have? | 3
How many legs does a spider have? | 8
How many days are there in a leap year? | 366
How many hours are there in a day? | 24
How many minutes in an hour? | 60
How many seconds in a minute? | 60
How many players are there in a cricket team? | 11
How many players are there in a football team? | 11
Who is known as the God of Cricket? | sachin tendulkar
Who is known as the King of Pop? | michael jackson
Who is known as the Nightingale of India? | sarojini naidu
Who is known as the Iron Man of India? | sardar patel
Which is the fastest land animal? | cheetah
Which is the largest animal? | blue whale
Which is the tallest animal? | giraffe
Which is the smallest bone in the human body? | stapes
Which is the largest organ in the human body? | skin
Which is the smallest planet? | mercury
Which gas do plants absorb? | carbon dioxide
Which gas do humans breathe? | oxygen
Which vitamin is produced by sunlight? | vitamin d
Which part of the plant makes food? | leaf
Which organ pumps blood? | heart
Which organ helps in breathing? | lungs
Which is the capital of Rajasthan? | jaipur
Which is the capital of Maharashtra? | mumbai
Which is the capital of Gujarat? | gandhinagar
Which is the capital of Punjab? | chandigarh
Which is the capital of Karnataka? | bengaluru
Which is the capital of Tamil Nadu? | chennai
Which is the capital of Telangana? | hyderabad
Which is the capital of West Bengal? | kolkata
Which is the capital of Bihar? | patna
Which is the capital of Uttar Pradesh? | lucknow
Which is the capital of Madhya Pradesh? | bhopal
Which is the capital of Kerala? | thiruvananthapuram
Which is the capital of Odisha? | bhubaneswar
Which is the capital of Assam? | dispur
Which is the capital of Goa? | panaji
Which is the capital of Himachal Pradesh? | shimla
Which is the capital of Uttarakhand? | देहरादून
Which is the capital of Jharkhand? | ranchi
Which is the capital of Chhattisgarh? | raipur
Which is the capital of Haryana? | chandigarh
Which is the capital of Andhra Pradesh? | amaravati
Which is the capital of Sikkim? | gangtok
Which is the capital of Meghalaya? | shillong
Which is the capital of Manipur? | imphal
Which is the capital of Mizoram? | aizawl
Which is the capital of Nagaland? | kohima
Which is the capital of Tripura? | agartala
Which is the capital of Arunachal Pradesh? | itanagar
Which is the capital of Jammu and Kashmir? | srinagar
Which is the capital of Ladakh? | leh
Which is the capital of Andaman and Nicobar Islands? | port blair
Which is the capital of Delhi? | new delhi
Which is the capital of Puducherry? | puducherry
Which is the capital of Lakshadweep? | kavaratti
Which is the capital of Chandigarh? | chandigarh
Which is the capital of Dadra and Nagar Haveli? | silvassa
Which is the capital of Daman and Diu? | daman
What is the largest country in the world? | russia
What is the smallest country in the world? | vatican city
Which is the deepest ocean? | pacific ocean
Which is the largest island? | greenland
Which is the longest wall in the world? | great wall of china
Which is the tallest building in the world? | burj khalifa
Which is the largest lake in the world? | caspian sea
Which is the largest river in the world? | amazon
Which is the coldest place on earth? | antarctica
Which is the hottest place on earth? | death valley
Which is the largest rainforest? | amazon rainforest
Which is the national sport of India? | hockey
Which is the national sport of USA? | baseball
Which is the national sport of Japan? | sumo wrestling
Which is the national sport of China? | table tennis
Which is the national sport of Canada? | ice hockey
Which is the national sport of England? | cricket
Which is the national sport of Australia? | cricket
Which is the national sport of Pakistan? | hockey
Which is the national sport of Bangladesh? | kabaddi
Which is the national sport of Sri Lanka? | volleyball
Which is the first month of the year? | january
Which is the last month of the year? | december
Which day comes after friday? | saturday
